
2010-07-13,410.40,416.00,407.48,414.51,129.04,23.48
2010-07-14,416.00,422.18,414.65,417.26,221.98,25.48
2010-07-15,418.00,418.00,411.00,412.52,66.96,24.26
2010-07-16,412.80,413.20,406.24,407.79,96.27,28.77
2010-07-19,408.40,412.80,404.40,409.57,179.71,34.76
2010-07-20,409.57,417.74,407.20,408.88,137.15,26.53
2010-07-21,410.02,412.95,405.00,406.61,94.61,26.79
2010-07-22,406.00,412.60,405.00,411.45,114.01,25.41
2010-07-23,413.80,413.80,405.18,407.72,141.0,24.1
2010-07-26,409.00,411.96,406.83,410.38,62.08,29.7
2010-07-27,410.64,415.60,409.00,413.36,137.22,27.39
2010-07-28,414.40,418.00,411.99,417.22,136.78,21.76
2010-07-29,418.18,423.00,416.65,420.12,236.22,22.49
2010-07-30,419.54,427.40,416.00,425.38,247.55,20.33
2010-08-02,426.00,428.98,424.27,427.27,176.25,19.1
2010-08-03,428.00,428.80,422.35,424.49,172.94,19.48
2010-08-04,423.00,425.80,418.24,422.96,155.29,21.01
2010-08-05,413.00,425.48,413.00,420.05,154.92,21.85
2010-08-06,418.65,422.00,416.29,418.14,114.28,20.23
2010-08-09,418.00,420.78,414.27,416.40,54.53,21.87
    2010-08-10,417.09,420.44,413.95,419.03,153.29,20.41
    2010-08-11,420.20,422.61,415.59,417.90,153.93,19.6
    2010-08-12,415.38,416.56,409.60,414.63,102.7,21.98
    2010-08-13,412.31,420.28,411.65,417.51,109.39,20.63
    2010-08-16,415.68,425.38,414.08,416.80,74.93,22.82
    2010-08-17,421.60,427.20,416.22,424.21,212.91,21.4
    2010-08-18,426.00,439.80,426.00,438.39,422.34,22.94
    2010-08-19,437.00,447.90,437.00,446.03,229.78,19.91
    2010-08-20,442.31,447.96,441.04,446.26,93.17,23.65
    2010-08-23,442.57,445.60,436.60,439.32,90.23,29.13
    2010-08-24,439.32,444.00,432.02,441.73,116.78,29.63
    2010-08-25,440.20,443.00,435.71,438.45,116.3,26.94
    2010-08-26,435.72,442.77,433.30,435.67,223.17,24.13
    2010-08-27,436.00,437.99,425.13,427.83,124.93,24.49
    2010-08-30,432.00,435.54,423.32,426.34,73.23,23.6
    2010-08-31,425.00,428.00,422.46,426.85,100.0,12.09
    2010-09-01,427.11,431.00,424.00,429.85,103.02,21.13
    2010-09-02,431.96,438.99,431.96,437.49,126.6,19.14
